id	title	description	link	image_link	availability	price	brand	condition	google_product_category	mpn
PZTR-BAT-0375	GNB (Gaoneng) Long Range 21700 6S2P 8000mAh Li-ion V8 (XT60 Plug)	GNB (Gaoneng) Long Range 21700 6S2P 8000mAh Li-ion V8, en yüksek drone performansı için tasarlanmıştır. 6S 22.2V 8000mAh ve XT60 Plug özelliklerine sahip olup, Ultra Uzun Uçuş Süreli Li-ion Batarya Paketi. Aşırı dayanıklılık, düşük gürültü ve maksimum verimlilik için havacılık sınıfı bileşenlerle üretilmiştir. Standart FPV drone montajları ve güç sistemleriyle tam uyumludur.	https://pozitronmarket.com/#prod-00a21724-88e2-4d9b-af53-3a63cc198c2c	https://pozitronmarket.com/assets/products/PZTR-BAT-0375.jpg	in_stock	3702.66 TRY	GNB (Gaoneng)	new	5433	PZTR-BAT-0375
PZTR-CON-0171	GEPRC Low Noise LC Filter 3A V4 (High Frequency Choke)	GEPRC Low Noise LC Filter 3A V4, en yüksek drone performansı için tasarlanmıştır. 3A Filter ve High Frequency Choke özelliklerine sahip olup, FPV Video Parazit ve Dalgalanma Önleyici Filtre. Aşırı dayanıklılık, düşük gürültü ve maksimum verimlilik için havacılık sınıfı bileşenlerle üretilmiştir. Standart FPV drone montajları ve güç sistemleriyle tam uyumludur.	https://pozitronmarket.com/#prod-00fdb974-7ec9-445b-82c9-53d719e0d908	https://pozitronmarket.com/assets/products/PZTR-CON-0171.jpg	in_stock	289.99 TRY	GEPRC	new	5433	PZTR-CON-0171
PZTR-TRA-0297	Foxeer TX16S MKII MAX Radio Transmitter V2 (Hall Gimbals V4)	Foxeer TX16S MKII MAX Radio Transmitter V2, en yüksek drone performansı için tasarlanmıştır. EdgeTX / ELRS 2.4GHz ve Hall Gimbals V4 özelliklerine sahip olup, Renkli Dokunmatik Ekranlı Amiral Gemisi 16 Kanallı Kumanda. Aşırı dayanıklılık, düşük gürültü ve maksimum verimlilik için havacılık sınıfı bileşenlerle üretilmiştir. Standart FPV drone montajları ve güç sistemleriyle tam uyumludur.	https://pozitronmarket.com/#prod-014532c0-ddc3-49f3-b3ac-e77a1dba261a	https://pozitronmarket.com/assets/products/PZTR-TRA-0297.jpg	in_stock	14669.64 TRY	Foxeer	new	5433	PZTR-TRA-0297
PZTR-ESC-0073	Hobbywing Reaper 65A V3 (30.5x30.5mm)	Hobbywing Reaper 65A V3, en yüksek drone performansı için tasarlanmıştır. 65A BLHeli_32 ve 30.5x30.5mm özelliklerine sahip olup, Yüksek Akımlı 128K PWM 8 Katmanlı PCB ESC. Aşırı dayanıklılık, düşük gürültü ve maksimum verimlilik için havacılık sınıfı bileşenlerle üretilmiştir. Standart FPV drone montajları ve güç sistemleriyle tam uyumludur.	https://pozitronmarket.com/#prod-018d39ca-30bf-4275-a76d-46af3f65c3c5	https://pozitronmarket.com/assets/products/PZTR-ESC-0073.jpg	in_stock	3533.93 TRY	Hobbywing	new	5433	PZTR-ESC-0073
PZTR-CON-0155	iFlight Current Sensor Board 150A PRO (Analog/Digital Telemetry)	iFlight Current Sensor Board 150A PRO, en yüksek drone performansı için tasarlanmıştır. 150A Hall Sensor ve Analog/Digital Telemetry özelliklerine sahip olup, Yüksek Hassasiyetli Drone Akım Ölçüm Kartı. Aşırı dayanıklılık, düşük gürültü ve maksimum verimlilik için havacılık sınıfı bileşenlerle üretilmiştir. Standart FPV drone montajları ve güç sistemleriyle tam uyumludur.	https://pozitronmarket.com/#prod-01b28996-bcb7-4160-a1f6-c91b43aa828a	https://pozitronmarket.com/assets/products/PZTR-CON-0155.jpg	in_stock	672.10 TRY	iFlight	new	5433	PZTR-CON-0155
PZTR-CON-0164	BetaFPV PDB-XT60 Dual BEC V3 (XT60 Direct Solder)	BetaFPV PDB-XT60 Dual BEC V3, en yüksek drone performansı için tasarlanmıştır. Dual 5V & 12V ve XT60 Direct Solder özelliklerine sahip olup, Çift BEC Çıkışlı Güç Dağıtım Kartı. Aşırı dayanıklılık, düşük gürültü ve maksimum verimlilik için havacılık sınıfı bileşenlerle üretilmiştir. Standart FPV drone montajları ve güç sistemleriyle tam uyumludur.	https://pozitronmarket.com/#prod-033b306a-94d0-470c-be7d-5f32b99b7706	https://pozitronmarket.com/assets/products/PZTR-CON-0164.jpg	in_stock	605.36 TRY	BetaFPV	new	5433	PZTR-CON-0164
PZTR-ANT-0425	TBS (Team BlackSheep) Singularity 5.8GHz Directional Patch V4 (SMA High Gain)	TBS (Team BlackSheep) Singularity 5.8GHz Directional Patch V4, en yüksek drone performansı için tasarlanmıştır. 5.8GHz 9.4dBi Patch ve SMA High Gain özelliklerine sahip olup, Uzun Menzil Yüksek Kazançlı Gözlük Alıcı Yama Anteni. Aşırı dayanıklılık, düşük gürültü ve maksimum verimlilik için havacılık sınıfı bileşenlerle üretilmiştir. Standart FPV drone montajları ve güç sistemleriyle tam uyumludur.	https://pozitronmarket.com/#prod-03510097-2020-4931-a668-963c9907ee89	https://pozitronmarket.com/assets/products/PZTR-ANT-0425.jpg	in_stock	1443.84 TRY	TBS (Team BlackSheep)	new	5433	PZTR-ANT-0425
PZTR-CAM-0260	Flywoo HDZero Nano 90 Camera V6 (14x14mm Nano)	Flywoo HDZero Nano 90 Camera V6, en yüksek drone performansı için tasarlanmıştır. 720p 90fps Zero Latency ve 14x14mm Nano özelliklerine sahip olup, Sıfır Gecikmeli Yüksek Kare Hızlı Dijital Kamera. Aşırı dayanıklılık, düşük gürültü ve maksimum verimlilik için havacılık sınıfı bileşenlerle üretilmiştir. Standart FPV drone montajları ve güç sistemleriyle tam uyumludur.	https://pozitronmarket.com/#prod-038444ea-1836-432c-8638-9e5ef4e7a9a0	https://pozitronmarket.com/assets/products/PZTR-CAM-0260.jpg	in_stock	3252.40 TRY	Flywoo	new	5433	PZTR-CAM-0260
PZTR-CAM-0245	BetaFPV Avatar HD Pro Camera Kit V4 (Walksnail Digital)	BetaFPV Avatar HD Pro Camera Kit V4, en yüksek drone performansı için tasarlanmıştır. 1080P OLED Sony Starvis II ve Walksnail Digital özelliklerine sahip olup, Gece Görüşlü Düşük Işık Sony Starvis II FPV Kamera. Aşırı dayanıklılık, düşük gürültü ve maksimum verimlilik için havacılık sınıfı bileşenlerle üretilmiştir. Standart FPV drone montajları ve güç sistemleriyle tam uyumludur.	https://pozitronmarket.com/#prod-075e95ec-5e58-4859-a3dd-9a36c3f52ad9	https://pozitronmarket.com/assets/products/PZTR-CAM-0245.jpg	in_stock	8220.30 TRY	BetaFPV	new	5433	PZTR-CAM-0245
PZTR-PRO-0108	T-Motor Micro 31mm 4-Blade PRO (Purple)	T-Motor Micro 31mm 4-Blade PRO, en yüksek drone performansı için tasarlanmıştır. 31mm 4-Blade ve Purple özelliklerine sahip olup, Tiny Whoop Mikro Pervaneler 0.8/1.0mm. Aşırı dayanıklılık, düşük gürültü ve maksimum verimlilik için havacılık sınıfı bileşenlerle üretilmiştir. Standart FPV drone montajları ve güç sistemleriyle tam uyumludur.	https://pozitronmarket.com/#prod-0790efc0-2c59-41dd-9e72-f1adef724344	https://pozitronmarket.com/assets/products/PZTR-PRO-0108.jpg	in_stock	130.66 TRY	T-Motor	new	5433	PZTR-PRO-0108
PZTR-FRA-0379	ImpulseRC Apex 5-Inch Freestyle Frame PRO (Arm Interlocking)	ImpulseRC Apex 5-Inch Freestyle Frame PRO, en yüksek drone performansı için tasarlanmıştır. 5-Inch High Durability ve Arm Interlocking özelliklerine sahip olup, Efsanevi Düşük Rezonanslı Freestyle Drone Gövdesi. Aşırı dayanıklılık, düşük gürültü ve maksimum verimlilik için havacılık sınıfı bileşenlerle üretilmiştir. Standart FPV drone montajları ve güç sistemleriyle tam uyumludur.	https://pozitronmarket.com/#prod-07a22d54-91e9-4c57-afa4-3a868e553e38	https://pozitronmarket.com/assets/products/PZTR-FRA-0379.jpg	in_stock	3973.85 TRY	ImpulseRC	new	5433	PZTR-FRA-0379
PZTR-BAT-0351	ISDT Long Range 21700 6S2P 8000mAh Li-ion V4 (XT60 Plug)	ISDT Long Range 21700 6S2P 8000mAh Li-ion V4, en yüksek drone performansı için tasarlanmıştır. 6S 22.2V 8000mAh ve XT60 Plug özelliklerine sahip olup, Ultra Uzun Uçuş Süreli Li-ion Batarya Paketi. Aşırı dayanıklılık, düşük gürültü ve maksimum verimlilik için havacılık sınıfı bileşenlerle üretilmiştir. Standart FPV drone montajları ve güç sistemleriyle tam uyumludur.	https://pozitronmarket.com/#prod-07cb1058-3742-434d-8001-aee49d46eaf0	https://pozitronmarket.com/assets/products/PZTR-BAT-0351.jpg	in_stock	3995.94 TRY	ISDT	new	5433	PZTR-BAT-0351
PZTR-PRO-0109	Gemfan Hurricane 51466 V2 V2 (Clear Grey)	Gemfan Hurricane 51466 V2 V2, en yüksek drone performansı için tasarlanmıştır. 5.1x4.66x3 ve Clear Grey özelliklerine sahip olup, Dayanıklı 3 Palli Freestyle Pervane (4'lü Set). Aşırı dayanıklılık, düşük gürültü ve maksimum verimlilik için havacılık sınıfı bileşenlerle üretilmiştir. Standart FPV drone montajları ve güç sistemleriyle tam uyumludur.	https://pozitronmarket.com/#prod-08e34910-71b4-4fbf-8b81-317d939bcb4f	https://pozitronmarket.com/assets/products/PZTR-PRO-0109.jpg	in_stock	178.13 TRY	Gemfan	new	5433	PZTR-PRO-0109
PZTR-ESC-0063	Hobbywing Single 32Bit 45A ESC PRO (Single Arm)	Hobbywing Single 32Bit 45A ESC PRO, en yüksek drone performansı için tasarlanmıştır. 45A Single ve Single Arm özelliklerine sahip olup, Kollara Monte Edilebilir Tekli Yarış ESC'si. Aşırı dayanıklılık, düşük gürültü ve maksimum verimlilik için havacılık sınıfı bileşenlerle üretilmiştir. Standart FPV drone montajları ve güç sistemleriyle tam uyumludur.	https://pozitronmarket.com/#prod-09f5cc7b-511e-4efc-ab22-c7575d0dd81d	https://pozitronmarket.com/assets/products/PZTR-ESC-0063.jpg	in_stock	868.56 TRY	Hobbywing	new	5433	PZTR-ESC-0063
PZTR-GPS-0447	Matek Systems M10-5883 High Precision GPS Module V3 (QMC5883L Compass)	Matek Systems M10-5883 High Precision GPS Module V3, en yüksek drone performansı için tasarlanmıştır. u-blox M10 GNSS ve QMC5883L Compass özelliklerine sahip olup, Çoklu Uydu Hızlı Kilitlenen GPS ve Manyetik Pusula. Aşırı dayanıklılık, düşük gürültü ve maksimum verimlilik için havacılık sınıfı bileşenlerle üretilmiştir. Standart FPV drone montajları ve güç sistemleriyle tam uyumludur.	https://pozitronmarket.com/#prod-0abd8dac-f906-4253-97eb-db76a019075a	https://pozitronmarket.com/assets/products/PZTR-GPS-0447.jpg	in_stock	1441.96 TRY	Matek Systems	new	5433	PZTR-GPS-0447
PZTR-ESC-0058	T-Motor Tekko32 F4 4in1 50A PRO (20x20mm)	T-Motor Tekko32 F4 4in1 50A PRO, en yüksek drone performansı için tasarlanmıştır. 50A BLHeli_32 ve 20x20mm özelliklerine sahip olup, Kompakt Üst Seviye Yarış ESC'si. Aşırı dayanıklılık, düşük gürültü ve maksimum verimlilik için havacılık sınıfı bileşenlerle üretilmiştir. Standart FPV drone montajları ve güç sistemleriyle tam uyumludur.	https://pozitronmarket.com/#prod-0adbae4a-ea09-4d0c-840a-20c27cd6abc2	https://pozitronmarket.com/assets/products/PZTR-ESC-0058.jpg	in_stock	3348.28 TRY	T-Motor	new	5433	PZTR-ESC-0058
PZTR-FRA-0387	TBS (Team BlackSheep) Explorer LR 4 HD Long Range Frame V2 (Sub250g Class)	TBS (Team BlackSheep) Explorer LR 4 HD Long Range Frame V2, en yüksek drone performansı için tasarlanmıştır. 4-Inch Ultralight Long Range ve Sub250g Class özelliklerine sahip olup, 250 Gram Altı Uzun Menzil Keşif Gövdesi. Aşırı dayanıklılık, düşük gürültü ve maksimum verimlilik için havacılık sınıfı bileşenlerle üretilmiştir. Standart FPV drone montajları ve güç sistemleriyle tam uyumludur.	https://pozitronmarket.com/#prod-0b2c223d-519c-43c2-8ae1-6dd284399956	https://pozitronmarket.com/assets/products/PZTR-FRA-0387.jpg	in_stock	2089.62 TRY	TBS (Team BlackSheep)	new	5433	PZTR-FRA-0387
PZTR-CAM-0233	DJI Avatar HD Pro Camera Kit V2 (Walksnail Digital)	DJI Avatar HD Pro Camera Kit V2, en yüksek drone performansı için tasarlanmıştır. 1080P OLED Sony Starvis II ve Walksnail Digital özelliklerine sahip olup, Gece Görüşlü Düşük Işık Sony Starvis II FPV Kamera. Aşırı dayanıklılık, düşük gürültü ve maksimum verimlilik için havacılık sınıfı bileşenlerle üretilmiştir. Standart FPV drone montajları ve güç sistemleriyle tam uyumludur.	https://pozitronmarket.com/#prod-0b2ffbea-7318-4c1f-9f66-787977146399	https://pozitronmarket.com/assets/products/PZTR-CAM-0233.jpg	in_stock	7323.54 TRY	DJI	new	5433	PZTR-CAM-0233
PZTR-ANT-0437	Foxeer Singularity 5.8GHz Directional Patch V7 (SMA High Gain)	Foxeer Singularity 5.8GHz Directional Patch V7, en yüksek drone performansı için tasarlanmıştır. 5.8GHz 9.4dBi Patch ve SMA High Gain özelliklerine sahip olup, Uzun Menzil Yüksek Kazançlı Gözlük Alıcı Yama Anteni. Aşırı dayanıklılık, düşük gürültü ve maksimum verimlilik için havacılık sınıfı bileşenlerle üretilmiştir. Standart FPV drone montajları ve güç sistemleriyle tam uyumludur.	https://pozitronmarket.com/#prod-0bc737aa-3c5a-499c-8a69-c1a2fe8e2f38	https://pozitronmarket.com/assets/products/PZTR-ANT-0437.jpg	in_stock	1714.56 TRY	Foxeer	new	5433	PZTR-ANT-0437
PZTR-TRA-0330	FrSky RP1 ExpressLRS 2.4GHz Nano Receiver V7 (TCXO Crystal)	FrSky RP1 ExpressLRS 2.4GHz Nano Receiver V7, en yüksek drone performansı için tasarlanmıştır. ELRS 2.4GHz ve TCXO Crystal özelliklerine sahip olup, T-Antenli Yüksek Hassasiyetli 2.4GHz Nano Alıcı. Aşırı dayanıklılık, düşük gürültü ve maksimum verimlilik için havacılık sınıfı bileşenlerle üretilmiştir. Standart FPV drone montajları ve güç sistemleriyle tam uyumludur.	https://pozitronmarket.com/#prod-0bf50991-36e8-4f80-89ed-5dfd16cd5e0c	https://pozitronmarket.com/assets/products/PZTR-TRA-0330.jpg	in_stock	769.86 TRY	FrSky	new	5433	PZTR-TRA-0330
PZTR-GPS-0454	Holybro Micro M8N GPS Module with Active Patch V5 (Ceramic Antenna)	Holybro Micro M8N GPS Module with Active Patch V5, en yüksek drone performansı için tasarlanmıştır. u-blox M8N ve Ceramic Antenna özelliklerine sahip olup, Güvenilir Eve Dönüş (RTH) ve Kurtarma Modu GPS'i. Aşırı dayanıklılık, düşük gürültü ve maksimum verimlilik için havacılık sınıfı bileşenlerle üretilmiştir. Standart FPV drone montajları ve güç sistemleriyle tam uyumludur.	https://pozitronmarket.com/#prod-0c02d018-9e0a-4cae-8e2c-3156e3d4f0cb	https://pozitronmarket.com/assets/products/PZTR-GPS-0454.jpg	in_stock	888.30 TRY	Holybro	new	5433	PZTR-GPS-0454
PZTR-VTX-0267	PandaRC Reaper Extreme 2.5W VTX V2 (Aluminium Heatsink)	PandaRC Reaper Extreme 2.5W VTX V2, en yüksek drone performansı için tasarlanmıştır. 2500mW Monster Power ve Aluminium Heatsink özelliklerine sahip olup, 2.5 Watt Maksimum Güçte Video Vericisi. Aşırı dayanıklılık, düşük gürültü ve maksimum verimlilik için havacılık sınıfı bileşenlerle üretilmiştir. Standart FPV drone montajları ve güç sistemleriyle tam uyumludur.	https://pozitronmarket.com/#prod-0d0f38a1-5752-4c80-b7e4-555cf29709f0	https://pozitronmarket.com/assets/products/PZTR-VTX-0267.jpg	in_stock	2928.10 TRY	PandaRC	new	5433	PZTR-VTX-0267
PZTR-CON-0153	Caddx Low Noise LC Filter 3A PRO (High Frequency Choke)	Caddx Low Noise LC Filter 3A PRO, en yüksek drone performansı için tasarlanmıştır. 3A Filter ve High Frequency Choke özelliklerine sahip olup, FPV Video Parazit ve Dalgalanma Önleyici Filtre. Aşırı dayanıklılık, düşük gürültü ve maksimum verimlilik için havacılık sınıfı bileşenlerle üretilmiştir. Standart FPV drone montajları ve güç sistemleriyle tam uyumludur.	https://pozitronmarket.com/#prod-0d6fc4b5-533b-4933-870b-2c83b188c4c4	https://pozitronmarket.com/assets/products/PZTR-CON-0153.jpg	in_stock	321.01 TRY	Caddx	new	5433	PZTR-CON-0153
PZTR-FLI-0212	Kakute H743-WING V3 V5 (Wing / Plane / Multi)	Kakute H743-WING V3 V5, en yüksek drone performansı için tasarlanmıştır. STM32H743 ve Wing / Plane / Multi özelliklerine sahip olup, ArduPilot ve INAV Otonom Seyrüsefer FC. Aşırı dayanıklılık, düşük gürültü ve maksimum verimlilik için havacılık sınıfı bileşenlerle üretilmiştir. Standart FPV drone montajları ve güç sistemleriyle tam uyumludur.	https://pozitronmarket.com/#prod-0d9dce52-12a3-4c05-a335-8654ea356283	https://pozitronmarket.com/assets/products/PZTR-FLI-0212.jpg	in_stock	4744.18 TRY	Kakute	new	5433	PZTR-FLI-0212
PZTR-PRO-0127	Dalprop Cinewhoop D90S Ducted V4 (Clear Black)	Dalprop Cinewhoop D90S Ducted V4, en yüksek drone performansı için tasarlanmıştır. 3.5x3x3 ve Clear Black özelliklerine sahip olup, 3 Palli Düşük Gürültülü Kanallı Pervane. Aşırı dayanıklılık, düşük gürültü ve maksimum verimlilik için havacılık sınıfı bileşenlerle üretilmiştir. Standart FPV drone montajları ve güç sistemleriyle tam uyumludur.	https://pozitronmarket.com/#prod-0df50aae-c609-41ee-be1f-b3d022bc08bb	https://pozitronmarket.com/assets/products/PZTR-PRO-0127.jpg	in_stock	187.53 TRY	Dalprop	new	5433	PZTR-PRO-0127
PZTR-ESC-0062	Spedix GOKU Versatile 40A PRO (25.5x25.5mm)	Spedix GOKU Versatile 40A PRO, en yüksek drone performansı için tasarlanmıştır. 40A BLHeli_S ve 25.5x25.5mm özelliklerine sahip olup, AIO Toothpick ve Cinewhoop ESC. Aşırı dayanıklılık, düşük gürültü ve maksimum verimlilik için havacılık sınıfı bileşenlerle üretilmiştir. Standart FPV drone montajları ve güç sistemleriyle tam uyumludur.	https://pozitronmarket.com/#prod-0e04b915-b95f-457d-84a4-e07c4960dc16	https://pozitronmarket.com/assets/products/PZTR-ESC-0062.jpg	in_stock	1796.34 TRY	Spedix	new	5433	PZTR-ESC-0062
PZTR-MOT-0002	EMAX ECO II PRO (1900KV)	EMAX ECO II PRO, en yüksek drone performansı için tasarlanmıştır. 2207 ve 1900KV özelliklerine sahip olup, Yüksek Fiyat/Performans Fırçasız Motor. Aşırı dayanıklılık, düşük gürültü ve maksimum verimlilik için havacılık sınıfı bileşenlerle üretilmiştir. Standart FPV drone montajları ve güç sistemleriyle tam uyumludur.	https://pozitronmarket.com/#prod-0f80691a-7996-4faf-b6f4-6b263cee88e4	https://pozitronmarket.com/assets/products/PZTR-MOT-0002.jpg	in_stock	774.09 TRY	EMAX	new	5433	PZTR-MOT-0002
PZTR-TRA-0322	Jumper Boxer Radio Controller M2 V6 (Full Size Gimbals)	Jumper Boxer Radio Controller M2 V6, en yüksek drone performansı için tasarlanmıştır. ExpressLRS 2.4GHz 1W ve Full Size Gimbals özelliklerine sahip olup, Ergonomik Dahili 1W ELRS Vericili Kumanda. Aşırı dayanıklılık, düşük gürültü ve maksimum verimlilik için havacılık sınıfı bileşenlerle üretilmiştir. Standart FPV drone montajları ve güç sistemleriyle tam uyumludur.	https://pozitronmarket.com/#prod-0fd9c227-d3e9-4713-8b19-e48136fa70c7	https://pozitronmarket.com/assets/products/PZTR-TRA-0322.jpg	in_stock	5945.03 TRY	Jumper	new	5433	PZTR-TRA-0322
PZTR-MOT-0008	Sunnysky ROBO RB PRO (11500KV)	Sunnysky ROBO RB PRO, en yüksek drone performansı için tasarlanmıştır. 1202.5 ve 11500KV özelliklerine sahip olup, Ultra Hafif Tiny Whoop Fırçasız Motor. Aşırı dayanıklılık, düşük gürültü ve maksimum verimlilik için havacılık sınıfı bileşenlerle üretilmiştir. Standart FPV drone montajları ve güç sistemleriyle tam uyumludur.	https://pozitronmarket.com/#prod-101c38aa-1272-4b1a-99b6-c07291f34ca8	https://pozitronmarket.com/assets/products/PZTR-MOT-0008.jpg	in_stock	557.89 TRY	Sunnysky	new	5433	PZTR-MOT-0008
PZTR-ANT-0434	MenaceRC Matchstick 5.8GHz Carbon Antenna V6 (Carbon Fiber Tube)	MenaceRC Matchstick 5.8GHz Carbon Antenna V6, en yüksek drone performansı için tasarlanmıştır. 5.8GHz High Axil ve Carbon Fiber Tube özelliklerine sahip olup, Düşük Sürtünmeli Aerodinamik Yarış Anteni. Aşırı dayanıklılık, düşük gürültü ve maksimum verimlilik için havacılık sınıfı bileşenlerle üretilmiştir. Standart FPV drone montajları ve güç sistemleriyle tam uyumludur.	https://pozitronmarket.com/#prod-10e288e5-3452-40f8-94d5-2688587fac1d	https://pozitronmarket.com/assets/products/PZTR-ANT-0434.jpg	in_stock	905.69 TRY	MenaceRC	new	5433	PZTR-ANT-0434
PZTR-MOT-0022	MEPSKing V2207.5 V2 (2550KV)	MEPSKing V2207.5 V2, en yüksek drone performansı için tasarlanmıştır. 2207.5 ve 2550KV özelliklerine sahip olup, Veloce Performans Pro Drone Motoru. Aşırı dayanıklılık, düşük gürültü ve maksimum verimlilik için havacılık sınıfı bileşenlerle üretilmiştir. Standart FPV drone montajları ve güç sistemleriyle tam uyumludur.	https://pozitronmarket.com/#prod-112203be-add2-4ae5-a8de-59555da323f2	https://pozitronmarket.com/assets/products/PZTR-MOT-0022.jpg	in_stock	1105.44 TRY	MEPSKing	new	5433	PZTR-MOT-0022
PZTR-MOT-0037	BetaFPV SPEEDX2 V4 (2650KV)	BetaFPV SPEEDX2 V4, en yüksek drone performansı için tasarlanmıştır. 2105.5 ve 2650KV özelliklerine sahip olup, Ultra Hafif Cinewhoop ve 3.5 inç Motoru. Aşırı dayanıklılık, düşük gürültü ve maksimum verimlilik için havacılık sınıfı bileşenlerle üretilmiştir. Standart FPV drone montajları ve güç sistemleriyle tam uyumludur.	https://pozitronmarket.com/#prod-11efcf8b-778e-45e1-b6c6-dc8bebe717b3	https://pozitronmarket.com/assets/products/PZTR-MOT-0037.jpg	in_stock	994.99 TRY	BetaFPV	new	5433	PZTR-MOT-0037
PZTR-BAT-0350	CNHL Black Series 1500mAh 4S 100C V4 (XT60 Plug)	CNHL Black Series 1500mAh 4S 100C V4, en yüksek drone performansı için tasarlanmıştır. 4S 14.8V 1500mAh 100C ve XT60 Plug özelliklerine sahip olup, Güvenilir Yüksek Performanslı Freestyle 4S LiPo. Aşırı dayanıklılık, düşük gürültü ve maksimum verimlilik için havacılık sınıfı bileşenlerle üretilmiştir. Standart FPV drone montajları ve güç sistemleriyle tam uyumludur.	https://pozitronmarket.com/#prod-12c2b437-e71f-4609-b9ff-11a9d4d9b224	https://pozitronmarket.com/assets/products/PZTR-BAT-0350.jpg	in_stock	967.26 TRY	CNHL	new	5433	PZTR-BAT-0350
PZTR-MOT-0021	FlashHobby U8 II Heavy Lift V2 (85KV)	FlashHobby U8 II Heavy Lift V2, en yüksek drone performansı için tasarlanmıştır. 8515 ve 85KV özelliklerine sahip olup, Endüstriyel Yüksek Taşıma Kapasiteli Motor. Aşırı dayanıklılık, düşük gürültü ve maksimum verimlilik için havacılık sınıfı bileşenlerle üretilmiştir. Standart FPV drone montajları ve güç sistemleriyle tam uyumludur.	https://pozitronmarket.com/#prod-1334c9c2-e405-4101-aaa3-406611a9d221	https://pozitronmarket.com/assets/products/PZTR-MOT-0021.jpg	in_stock	12288.15 TRY	FlashHobby	new	5433	PZTR-MOT-0021
